ID,Organization,Category,Headquarters,Region,Africa Presence,Fit Priority,Remote Indicator,Visa Indicator,Career URL,Suggested Roles
1,United Nations Secretariat,UN & Multilateral,"New York, USA",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://careers.un.org/,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
57,Bank for International Settlements,Development Banks & Finance,"Basel, Switzerland",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.bis.org/careers/index.htm,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
58,European Central Bank,Development Banks & Finance,"Frankfurt, Germany",Europe,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.ecb.europa.eu/careers/html/index.en.html,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
59,Central Bank of Egypt,Development Banks & Finance,"Cairo, Egypt",Middle East,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.cbe.org.eg/en/careers,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
60,Arab African International Bank,Development Banks & Finance,"Cairo, Egypt",Middle East,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.aaib.com/careers,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
61,Banque Misr,Development Banks & Finance,"Cairo, Egypt",Middle East,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.banquemisr.com/en/Home/ABOUT-US/Careers,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
62,Commercial International Bank Egypt,Development Banks & Finance,"Cairo, Egypt",Middle East,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.cibeg.com/en/careers,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
63,QNB Group,Development Banks & Finance,"Doha, Qatar",Middle East,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.qnb.com/sites/qnb/qnbglobal/page/en/encareers.html,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
64,Standard Chartered,Development Banks & Finance,"London, UK",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.sc.com/en/global-careers/,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
65,HSBC,Development Banks & Finance,"London, UK",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://www.hsbc.com/careers,Enterprise Architecture | IT Governance | Digital Banking | Cybersecurity | Data Platforms
66,Médecins Sans Frontières,International NGOs,"Geneva, Switzerland",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.msf.org/work-msf,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
67,CARE International,International NGOs,"Geneva, Switzerland",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.care-international.org/jobs,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
68,International Rescue Committee,International NGOs,"New York, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://careers.rescue.org/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
69,Norwegian Refugee Council,International NGOs,"Oslo, Norway",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.nrc.no/careers/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
70,Danish Refugee Council,International NGOs,"Copenhagen, Denmark",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://job.drc.ngo/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
71,Save the Children International,International NGOs,"London, UK",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://jobs.savethechildren.net/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
72,World Vision International,International NGOs,"London, UK",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.wvi.org/careers,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
73,Oxfam International,International NGOs,"Nairobi, Kenya",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.oxfam.org/en/take-action/jobs,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
74,Mercy Corps,International NGOs,"Portland, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.mercycorps.org/careers,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
75,Catholic Relief Services,International NGOs,"Baltimore, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.crs.org/about/careers,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
76,Action Against Hunger,International NGOs,"Paris, France",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.actionagainsthunger.org/careers/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
77,ACTED,International NGOs,"Paris, France",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.acted.org/en/join-us/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
78,International Medical Corps,International NGOs,"Los Angeles, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://careers.internationalmedicalcorps.org/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
79,Relief International,International NGOs,"Washington, DC, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.ri.org/careers/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
80,Islamic Relief Worldwide,International NGOs,"Birmingham, UK",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.islamic-relief.org.uk/about-us/jobs/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
81,Tearfund,International NGOs,"Teddington, UK",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.tearfund.org/about-us/jobs,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
82,Medair,International NGOs,"Ecublens, Switzerland",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.medair.org/jobs,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
83,HIAS,International NGOs,"Silver Spring, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://hias.org/careers/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
84,Sightsavers,International NGOs,"Haywards Heath, UK",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.sightsavers.org/jobs/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
85,CBM Global Disability Inclusion,International NGOs,"Bensheim, Germany",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://cbm-global.org/careers,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
86,Habitat for Humanity International,International NGOs,"Atlanta, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.habitat.org/about/careers,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
87,Practical Action,International NGOs,"Rugby, UK",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://practicalaction.org/careers/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
88,Plan International,International NGOs,"Woking, UK",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://jobs.plan-international.org/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
89,Concern Worldwide,International NGOs,"Dublin, Ireland",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://jobs.concern.net/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
90,GOAL,International NGOs,"Dublin, Ireland",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.goalglobal.org/careers/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
91,Welthungerhilfe,International NGOs,"Bonn, Germany",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.welthungerhilfe.org/about-us/jobs,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
92,People in Need,International NGOs,"Prague, Czechia",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.peopleinneed.net/career,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
93,Norwegian Church Aid,International NGOs,"Oslo, Norway",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.kirkensnodhjelp.no/en/about-nca/work-with-us/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
94,Finn Church Aid,International NGOs,"Helsinki, Finland",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.kirkonulkomaanapu.fi/en/work-with-us/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
95,Swisscontact,International NGOs,"Zurich, Switzerland",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.swisscontact.org/en/about-us/jobs,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
96,Helvetas,International NGOs,"Zurich, Switzerland",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.helvetas.org/en/switzerland/who-we-are/jobs,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
97,TechnoServe,International NGOs,"Arlington, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.technoserve.org/careers/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
98,One Acre Fund,International NGOs,"Kigali, Rwanda",Africa,Yes,Medium,Limited / role-dependent,Role and location dependent,https://oneacrefund.org/careers,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
99,BRAC,International NGOs,"Dhaka, Bangladesh",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://careers.brac.net/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
100,Pact,International NGOs,"Washington, DC, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.pactworld.org/careers,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
101,Winrock International,International NGOs,"Arlington, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://winrock.org/careers/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
102,FHI 360,International NGOs,"Durham, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.fhi360.org/careers,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
103,Jhpiego,International NGOs,"Baltimore, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.jhpiego.org/careers/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
104,Management Sciences for Health,International NGOs,"Arlington, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://msh.org/careers/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
105,Population Services International,International NGOs,"Washington, DC, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.psi.org/careers/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
106,Abt Global,International NGOs,"Rockville, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.abtglobal.com/careers,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
107,Chemonics International,International NGOs,"Washington, DC, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.chemonics.com/careers/,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
108,DAI,International NGOs,"Bethesda, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.dai.com/careers,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
109,Palladium,International NGOs,"London, UK",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://thepalladiumgroup.com/careers,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
110,RTI International,International NGOs,"Research Triangle Park, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.rti.org/careers,Information Systems Manager | ICT4D | ERP/CRM | Digital Transformation | Technical Operations
111,PATH,Global Health & Healthcare,"Seattle, USA",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://www.path.org/jobs/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
112,Clinton Health Access Initiative,Global Health & Healthcare,"Boston, USA",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://www.clintonhealthaccess.org/careers,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
113,"Gavi, the Vaccine Alliance",Global Health & Healthcare,"Geneva, Switzerland",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://www.gavi.org/our-alliance/careers,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
114,The Global Fund,Global Health & Healthcare,"Geneva, Switzerland",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://www.theglobalfund.org/en/careers/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
115,Unitaid,Global Health & Healthcare,"Geneva, Switzerland",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://unitaid.org/vacancies/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
116,CEPI,Global Health & Healthcare,"Oslo, Norway",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://cepi.net/careers,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
117,FIND,Global Health & Healthcare,"Geneva, Switzerland",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://www.finddx.org/careers/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
118,DNDi,Global Health & Healthcare,"Geneva, Switzerland",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://dndi.org/about/jobs/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
119,Partners In Health,Global Health & Healthcare,"Boston, USA",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://www.pih.org/pages/employment,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
120,Last Mile Health,Global Health & Healthcare,"Boston, USA",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://lastmilehealth.org/careers/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
121,Elizabeth Glaser Pediatric AIDS Foundation,Global Health & Healthcare,"Washington, DC, USA",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://pedaids.org/about/careers/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
122,Resolve to Save Lives,Global Health & Healthcare,"New York, USA",Global,Yes,High,Limited / role-dependent,Role and location dependent,https://resolvetosavelives.org/about/careers,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
123,Amref Health Africa,Global Health & Healthcare,"Nairobi, Kenya",Africa,Yes,High,Limited / role-dependent,Role and location dependent,https://amref.org/careers/,Health Information Systems | Digital Health | Interoperability | Enterprise Systems | Data Platforms
