ID,Title,Company,Work Model,Hiring Region,Sector,Role Family,Fit,Potentially Open From Egypt,Hiring Scope / Restrictions,Freshness,Source,URL
15,Sales Engineer - EMEA,Socket,Remote-first,EMEA,Software Supply-chain Security,Solution Architecture,Medium,Maybe,EMEA; confirm country support,Open page checked 18 Jul 2026,Official employer ATS,https://jobs.ashbyhq.com/socket/b88a5ea5-fb24-4e42-b567-072bf14a14ba
16,Solutions Architect - East Asia,Cape,Remote,East Asia,Privacy / Security Technology,Solution Architecture,Medium,No,East Asia regional role,Open page checked 18 Jul 2026,Official employer ATS,https://jobs.ashbyhq.com/cape/b693064d-36d2-4035-ace2-a26aa910961e
17,Senior Solution Architect,Sanity,Remote,United States / Canada,Content Platform,Solution Architecture,High,No,Remote in the US or Canada,Open page checked 18 Jul 2026,Official employer ATS,https://jobs.ashbyhq.com/sanity/2efeec05-9eb0-4864-b505-62e952d685d7
18,Solutions Architect - Pre-Sales,BlueCloud Services,Remote,United States,Data / Snowflake Consulting,Solution Architecture,High,No,US remote; Northeast preferred,Posted 7 Jul 2026,Official employer ATS,https://jobs.lever.co/blue/639d784c-c45c-48c6-8636-cacfec1d2d3c
19,Machine Learning Principal Solutions Architect,phData,Remote,United States,AI / Data Consulting,AI Architecture,High,No,US hiring eligibility,Open page checked 18 Jul 2026,Official employer ATS,https://boards.greenhouse.io/phdata/jobs/7390457
20,"Director, Solutions Architecture - Enterprise & Strategic",ClickHouse,Remote-friendly,United States,Data Infrastructure,Architecture Leadership,High,No,US role; remote-friendly company,Open page checked 18 Jul 2026,Official employer ATS,https://boards.greenhouse.io/clickhouse/jobs/6006037004
21,Enterprise Architect,Element Solutions,Remote,United States,Government Technology,Enterprise Architecture,High,No,US government-contract environment,Open page checked 18 Jul 2026,Official employer ATS,https://jobs.lever.co/elementsolutions/d19d53b2-af7b-483e-adac-eb4d326a885d
22,Business Architect,Ibility,Remote,United States / Verify,Government / Healthcare Consulting,Enterprise Architecture,High,No,US-oriented role; TOGAF/FEAF experience requested,Open page checked 18 Jul 2026,Official employer ATS,https://jobs.lever.co/ibility/b1c4684e-b4ee-42f3-9b6a-ec60cf9875fd
23,Director of Enterprise Architecture,OneSource Virtual,Remote / Verify,United States,Workday / FinTech Services,Architecture Leadership,High,No,Confirm location and work authorization,Open page checked 18 Jul 2026,Company career network,https://careers.ta.com/companies/onesource-virtual-2/jobs/69576711-director-of-enterprise-architecture
24,"Senior Director, Enterprise Architecture",Foot Locker,Fully remote,United States,Retail / Enterprise Technology,Architecture Leadership,High,No,US only,Open page checked 18 Jul 2026,Official employer,https://careers.footlocker.com/jobs/68535?lang=en-us
25,"Manager, Enterprise Architecture",Adobe,Remote,United States,Enterprise Software,Architecture Leadership,High,No,Remote California / US eligibility,Listing page checked 18 Jul 2026,Official employer,https://careers.adobe.com/us/en/job/R167331/Manager-Enterprise-Architecture
26,"Senior Manager, Enterprise Architecture",Adobe,Remote / Flexible,United States,Enterprise Software,Architecture Leadership,High,No,US hiring eligibility,Listing page checked 18 Jul 2026,Official employer,https://careers.adobe.com/us/en/job/R168299/Senior-Manager-of-Enterprise-Architecture
27,"Director, IT",Life360,Distributed workforce,United States / Verify,Consumer Technology,IT Leadership,High,No,Confirm remote location and work authorization,Open page checked 18 Jul 2026,Official employer ATS,https://boards.greenhouse.io/life360/jobs/8636922002
28,Senior Enterprise Infrastructure Manager,Turning Point,Flexible remote,United Kingdom,Healthcare / Social Services,IT Leadership,High,No,UK role with occasional London/Manchester travel,Listing page checked 18 Jul 2026,Official employer,https://careers.turning-point.co.uk/jobs/job/Senior-Enterprise-Infrastructure-Manager/12775
29,Oracle Cloud Senior Consultant - PPM,Highstreet IT Solutions,Remote / Client delivery,United States / Verify,Oracle Cloud Consulting,Enterprise Applications,High,No,Confirm supported work location,Open page checked 18 Jul 2026,Official employer ATS,https://jobs.lever.co/highstreetit/caf00c7d-6be8-4dd3-8e0d-9300e6c59ce0
30,Azure Data Architect,Lingaro,Remote,Poland,Data Consulting,Data Architecture,High,No,Remote within Poland,Shown on current employer job board,Official employer board,https://jobs.lever.co/lingarogroup
31,GCP Data Architect,Lingaro,Remote,Europe / Poland,Data Consulting,Data Architecture,High,No,European/Polish hiring location,Shown on current employer job board,Official employer board,https://jobs.lever.co/lingarogroup
32,Solution Architect,Lingaro,Remote,Poland,Technology Consulting,Solution Architecture,High,No,Remote within Poland,Shown on current employer job board,Official employer board,https://jobs.lever.co/lingarogroup
33,Mendix Solution Architect,Lingaro,Remote,Poland,Low-code / Enterprise Apps,Solution Architecture,Medium,No,Remote within Poland,Shown on current employer job board,Official employer board,https://jobs.lever.co/lingarogroup
34,Senior AI Solution Architect,Jobgether client,Remote,Belgium,AI / Technology,AI Architecture,High,No,Remote role tied to Belgium,Shown on current remote job board,Remote job board,https://jobs.lever.co/jobgether?location=Belgium
35,Data Catalog & Data Governance Specialist,Jobgether client,Remote contract,Belgium,Data Governance,Data Governance,High,No,Belgium-based contract,Shown on current remote job board,Remote job board,https://jobs.lever.co/jobgether?location=Belgium
36,Ubuntu Engineering Manager,Jobgether client,Remote,Belgium,Open Source / Engineering,IT Leadership,Medium,No,Belgium-based remote role,Shown on current remote job board,Remote job board,https://jobs.lever.co/jobgether?location=Belgium
37,Architect,Jobgether client,Remote,Turkey,Technology,Enterprise Architecture,High,No,Remote role tied to Turkey,Shown on current remote job board,Remote job board,https://jobs.lever.co/jobgether?location=Turkey
38,Enterprise Architect,Best Buy Canada,Remote,Canada,Retail / Supply Chain,Enterprise Architecture,High,No,Canada remote,Current remote-job aggregator listing,Remote job board,https://www.remoterocketship.com/jobs/enterprise-architect/
39,Enterprise Architect,Wandelbots,Remote,Germany,Robotics / AI,Enterprise Architecture,High,No,Germany remote,Current remote-job aggregator listing,Remote job board,https://www.remoterocketship.com/jobs/enterprise-architect/
40,Pre-Sales Enterprise Architect,NTT DATA,Remote,Germany,Technology Consulting / Public Sector,Enterprise Architecture,High,No,Germany; German language likely required,Current remote-job aggregator listing,Remote job board,https://www.remoterocketship.com/jobs/enterprise-architect/
41,Senior Business Analyst - Digital Transformation,SSC HR Solutions,Remote,Egypt,Technology / Consulting,Digital Transformation,High,Yes,Remote Egypt role,Posted 18 Jul 2026,Official ATS,https://jobs.workable.com/view/wsPs2e4w3rx9Keer3PZj6X/remote-senior-business-analyst-%28digital-transformation%29-in-egypt-at-ssc-hr-solutions
42,MEL System Development and Implementation,CGIAR,Remote / Nairobi-linked,Africa / Kenya,International Development / Digital Systems,Digital Transformation,High,Maybe,Consultancy/assignment; verify eligible countries,Posted 4 Jul 2026,Official ATS,https://jobs.workable.com/view/iAPwEMD3yUkepNnYUoQ7pW/remote-mel-system-development-and-implementation-in-nairobi-at-cgiar
43,Partner Integrations Specialist,JUMO,Remote-first,South Africa,FinTech / Integrations,Systems Integration,High,No,Based in South Africa,Shown on current employer job board,Official employer ATS,https://boards.greenhouse.io/jumo/jobs/7870659
44,Strategic Partnerships Lead - Banking Distribution COO,JUMO,Remote-first,UTC 0 to UTC+3 / Selected countries,FinTech / Banking,Digital Strategy,High,Maybe,Job board references remote hiring within UTC 0 to UTC+3; confirm Egypt eligibility,Shown on current employer job board,Official employer ATS,https://boards.greenhouse.io/jumo/jobs/7870659
45,Presales Consultant,Müller's Solutions,Remote,Egypt,ERP / Digital Transformation,Solution Architecture,High,Yes,Remote role associated with Cairo,Open page checked 18 Jul 2026,Official ATS,https://jobs.workable.com/view/qbthsnFBmPkWV9WthvjQpq/presales-consultant-%28remote%29-in-cairo-at-m%C3%BCller%60s-solutions
46,Technical Project Manager - Business Analysis & AI Delivery,Human Intelligence,Remote,Mexico / Verify,AI / Consulting,Program Management,High,No,Remote role linked to Guadalajara,Posted 17 Jul 2026,Official ATS,https://jobs.workable.com/view/8uSjcYnBX3rSEYMksw9y7z/remote-technical-project-manager-%7C-business-analysis-%26-ai-delivery-in-guadalajara-at-human-intelligence
47,AI Strategy Manager - Strategic Operations & Business Transformation,Human Intelligence,Remote,Indonesia / Verify,AI / Transformation,Digital Transformation,High,No,Remote role linked to Jakarta,Posted 16 Jul 2026,Official ATS,https://jobs.workable.com/view/hgG7eFbC7SCYe8KfNHBtMv/remote-ai-strategy-manager-%7C-strategic-operations-%26-business-transformation-in-jakarta-at-human-intelligence
48,Software Architect - AI Trainer,10x Team,Remote freelance,European Union / United Kingdom,AI Training,Software Architecture,Medium,No,Candidates based in the EU or UK; 8–20 hours/week,Open page checked 18 Jul 2026,Official ATS,https://jobs.ashbyhq.com/10xteam/cf3c449d-0a87-46f8-b0a8-c274a01fe7d4
49,Innovation Director - AI Trainer,10x Team,Fully remote freelance,Remote / Verify Countries,AI Training / Innovation,Digital Transformation,High,Maybe,Confirm accepted countries; 8–20 hours/week,Open page checked 18 Jul 2026,Official ATS,https://jobs.ashbyhq.com/10xteam/e688f787-9daf-4785-960a-dbcc5c6a2faa
50,Architect - AI Trainer,10x Team,Fully remote freelance,Remote / Verify Countries,AI Training / Architecture,Enterprise Architecture,High,Maybe,Confirm accepted countries; 8–20 hours/week,Posted 7 Jul 2026,Official ATS,https://jobs.ashbyhq.com/10xteam/f16425b1-895d-4103-9006-90a2ef8a27fa
