ID,Title,Company,City,Country,Sector,Role Family,Fit,Restriction,Freshness,Deadline,Source,URL
19,Enterprise Architect - P&C Insurance,Al-Futtaim / Orient Insurance,Dubai,United Arab Emirates,Insurance / Financial Services,Enterprise Architecture,High,P&C insurance experience preferred,Current listing,,LinkedIn,https://www.linkedin.com/jobs/view/4400399857/
20,Data Architect,Landmark Group,Dubai,United Arab Emirates,Retail / Digital,Data Architecture,High,Verify eligibility,Recent listing,,LinkedIn,https://ae.linkedin.com/jobs/view/data-architect-at-landmark-group-4291753169
21,Data Protection Officer,Reem Hospital,Abu Dhabi,United Arab Emirates,Hospital / Healthcare,Data Governance,High,Privacy certification required,Current listing,,LinkedIn,https://www.linkedin.com/jobs/view/4348337161/
22,Laboratory Manager,M42 Health,Abu Dhabi,United Arab Emirates,Technology-enabled Healthcare,Healthcare Operations & Data,Medium,Laboratory-management experience required,Current listing,,LinkedIn,https://ae.linkedin.com/jobs/view/laboratory-manager-at-m42-health-4187981228
23,PA and Sales & Operations Support,GE HealthCare,Dubai,United Arab Emirates,Healthcare Technology,Operations,Low,Verify listing remains open,Listing page available,,LinkedIn,https://ae.linkedin.com/jobs/view/pa-and-sales-operations-support-at-ge-healthcare-4359735767
24,Associate Solutions Architect Intern - UAE National,Amazon Web Services,Dubai,United Arab Emirates,Cloud Technology,Solution Architecture,Low,UAE nationals; internship,2026 intake,,LinkedIn,https://www.linkedin.com/jobs/view/4358377392/
25,Principal Solutions Architect - Middle East,Nebius,UAE / Middle East,United Arab Emirates,Cloud / AI,Solution Architecture,High,Verify work location,Posted recently,,LinkedIn,https://www.linkedin.com/jobs/view/4437670321/
26,Middle East IT Service Senior Manager,Boston Consulting Group,Dubai / Riyadh / Doha / Abu Dhabi / Kuwait,Multiple GCC,Consulting,IT Leadership,High,Regional travel and leadership role,Current listing,,LinkedIn,https://www.linkedin.com/jobs/view/4401179503/
27,"Regional Delivery Manager - CIS, Middle East & Africa",Thales,Dubai / Regional,United Arab Emirates,Digital Security / Technology,Program Delivery,High,Regional scope,Current listing,,LinkedIn,https://ae.linkedin.com/jobs/view/regional-delivery-manager-cis-middle-east-africa-cismea-at-thales-4316806318
28,Department Head - Digital Solutions & Technology,Doha Bank,Doha,Qatar,Banking,Digital Transformation,High,Verify eligibility,Posted 1 Jul 2026,,Official employer,https://www.dohabank.com.qa/job/department-head-digital-solutions-technology/
29,IT & Digital Transformation Manager,Swan Global,Doha,Qatar,Consulting / Services,Digital Transformation,High,Verify eligibility,Posted 10 Jul 2026,,LinkedIn,https://qa.linkedin.com/jobs/view/it-digital-transformation-manager-at-swan-global-4433961440
30,IT Manager / Digital Transformation Manager,Ignite Search and Selection,Doha,Qatar,Recruitment / Client role,Digital Transformation,High,Client requirements apply,Recent listing,,LinkedIn,https://qa.linkedin.com/jobs/view/it-manager-digital-transformation-manager-at-ignite-search-and-selection-4436626208
31,Project Manager - Digital Transformation and Strategy (Banking),Nair Systems,Doha,Qatar,Banking Technology,Program Delivery,High,Banking experience preferred,Recent listing,,LinkedIn,https://qa.linkedin.com/jobs/view/project-manager-digital-transformation-and-strategy-banking-at-nair-systems-llc-4437950921
32,"Associate - Digital Strategy, Customer Innovation & Growth",Oliver Wyman,Doha,Qatar,Management Consulting,Digital Strategy,Medium,Consulting profile,Posted recently,,Official employer,https://careers.marsh.com/global/en/job/R_352711/Oliver-Wyman-Associate-Digital-Strategy-Customer-Innovation-Growth-Doha
33,Senior Digital Architect,QatarEnergy,Doha,Qatar,Energy,Enterprise Architecture,High,Verify detailed eligibility,Listed on official portal,,Official employer portal,https://careerportal.qatarenergy.qa/jobs
34,Technology Strategy & Advisory Manager / Senior Manager,Accenture Middle East,Doha,Qatar,Consulting,Digital Strategy,High,Arabic preferred,Listing page available,,LinkedIn,https://qa.linkedin.com/jobs/view/technology-strategy-advisory-manager-senior-manager-at-accenture-middle-east-3772808296
35,Digital Transformation Consultant - Project Based,Al Emadi Enterprises,Doha,Qatar,Diversified Group,Digital Transformation,High,Project-based engagement,Recent listing,,LinkedIn,https://qa.linkedin.com/jobs/view/digital-transformation-consultant-project-based-at-al-emadi-enterprises-4404162778
36,Enterprise Architect,Oman Housing Bank,Muscat,Oman,Banking,Enterprise Architecture,High,Verify eligibility,Posted recently,,LinkedIn,https://om.linkedin.com/jobs/view/enterprise-architect-at-oman-housing-bank-%D8%A8%D9%86%D9%83-%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D8%A7%D9%86-%D8%A7%D9%84%D8%B9%D9%8F%D9%85%D8%A7%D9%86%D9%8A-4438960983
37,Enterprise Architect,KalSoft,Muscat,Oman,Technology Consulting,Enterprise Architecture,High,Verify eligibility,Recent listing,,LinkedIn,https://om.linkedin.com/jobs/view/enterprise-architect-at-kalsoft-4429849156
38,VP Digital Transformation & Innovation,Oman Airports Management Company,Muscat,Oman,Aviation,Digital Transformation,High,Executive role,Listing page available,,LinkedIn,https://om.linkedin.com/jobs/view/vp-digital-transformation-innovation-at-oman-airports-management-company-4376400959
39,Head of Digital Transformation & Technology,Al Ansari,Muscat,Oman,Construction / Diversified Group,Digital Transformation,High,Executive leadership,Current listing page,,LinkedIn,https://om.linkedin.com/jobs/view/head-of-digital-transformation-technology-at-al-ansari-4280662485
40,Digital Transformation & Businesses Analyst,Consulting As Company,Muscat,Oman,Consulting,Business Analysis,Medium,Verify eligibility,Current listing page,,LinkedIn,https://om.linkedin.com/jobs/view/digital-transformation-businesses-analyst-at-consulting-as-company-3979860256
41,Oracle Enterprise Architect,Oracle,Kuwait City,Kuwait,Enterprise Technology,Enterprise Architecture,High,Verify eligibility,Recent listing,,LinkedIn,https://kw.linkedin.com/jobs/view/oracle-enterprise-architect-at-oracle-4071700994
42,Senior Presales Digital Transformation Solutions Architect,stc Kuwait,Kuwait,Kuwait,Telecommunications,Solution Architecture,High,Presales experience required,Current listing,,LinkedIn,https://kw.linkedin.com/jobs/view/senior-presales-digital-transformation-solutions-architect-at-stc-kuwait-4427100248
43,IT Business Partner,Alghanim Industries,Kuwait,Kuwait,Diversified Group,IT Leadership,High,Verify eligibility,Recent listing,,LinkedIn,https://www.linkedin.com/jobs/view/4416028048/
44,"Director, Digital Operations",Iron Mountain,Kuwait,Kuwait,Information Management,Digital Operations,High,Verify location details,Current listing page,,LinkedIn,https://www.linkedin.com/jobs/view/4350519247/
45,Cyber Security Consultant - Manager,RSM Kuwait,Kuwait,Kuwait,Consulting,Cybersecurity Governance,Medium,Cybersecurity consulting experience,Recent listing,,LinkedIn,https://www.linkedin.com/jobs/view/4422353081/
46,IT Lead - Point of Sales,Alghanim Industries,Kuwait,Kuwait,Retail / Enterprise IT,Enterprise Applications,Medium,POS experience preferred,Current listing page,,LinkedIn,https://www.linkedin.com/jobs/view/4336792254/
47,Technology Strategy & Governance Head,Robert Walters client,Bahrain,Bahrain,Enterprise / Financial Services,IT Strategy & Governance,High,Based in Bahrain,Current listing,,LinkedIn,https://sg.linkedin.com/jobs/view/technology-strategy-governance-head-based-in-bahrain-at-robert-walters-4357419305
48,Digital Transformation Manager,Seven Blocks,Remote - Bahrain,Bahrain,Technology,Digital Transformation,High,Remote role based in Bahrain,Recent listing,,LinkedIn,https://bh.linkedin.com/jobs/view/digital-transformation-manager-at-seven-blocks-%E2%84%A2-4429602278
49,Director of Technology and Innovation - Hotels Group,Renard International client,Bahrain,Bahrain,Hospitality,Technology Leadership,High,Relocation to Bahrain,Recent listing,,LinkedIn,https://in.linkedin.com/jobs/view/director-of-technology-and-innovation-%E2%80%93-hotels-group-bahrain-at-renard-international-hospitality-search-consultants-4426619696
50,Process Improvement Manager,Confidential / Recruitment listing,Bahrain,Bahrain,Enterprise Operations,Process & Digital Transformation,Medium,Verify employer and eligibility,Posted Jun 2026,,LinkedIn,https://uk.linkedin.com/jobs/view/d-f-h-d-h-at-ju-cs-it-placements-pg-4431676044
