ID,Title,Company,City,Country,Sector,Role Family,Fit,Requirements / Notes,Freshness,Source,URL
13,Senior Consultant - Transformation Architecture,EY,Cairo,Egypt,Consulting,Transformation Consulting,High,Consulting experience preferred,Recent listing,LinkedIn,https://www.linkedin.com/jobs/view/senior-consultant-transformation-architecture-business-transformation-egypt-at-ey-4413619229
14,Senior Data Architect,SDG Group Middle East,Cairo,Egypt,Data Consulting,Data Architecture,High,Senior data architecture experience,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4434534683/
15,Senior Data Governance Specialist,SDG Group Middle East,Cairo,Egypt,Data Consulting,Data Governance,High,Hands-on governance implementation,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4434543511/
16,Data Governance Lead,Intellias,Cairo,Egypt,Technology Services,Data Governance,High,Governance frameworks and data catalog experience,Posted 29 Jun 2026,LinkedIn,https://www.linkedin.com/jobs/view/4429998727/
17,Data Management Lead,SILO HUB,Heliopolis / Cairo,Egypt,Data & Analytics,Data Governance,High,Enterprise data strategy and stewardship,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4439744047/
18,Data Privacy Specialist,Majid Al Futtaim,Cairo,Egypt,Retail / Digital,Data Governance,Medium,Privacy and compliance background,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4440268003/
19,Commercial Data Operations Manager,AstraZeneca,Cairo,Egypt,Pharmaceuticals,Data & Analytics,High,Commercial data operations experience,Listing page available,LinkedIn,https://www.linkedin.com/jobs/view/4369159420/
20,Data Privacy Partner - Egypt,AstraZeneca,Cairo,Egypt,Pharmaceuticals,Data Governance,Medium,Privacy and regulatory background,Listing page available,LinkedIn,https://www.linkedin.com/jobs/view/4408675290/
21,"Regulatory Data Coordinator, Senior Associate",Pfizer,Cairo,Egypt,Pharmaceuticals,Data Governance,Medium,Regulatory data and master-data experience,Listing page available,LinkedIn,https://www.linkedin.com/jobs/view/4340386487/
22,Principal AI Platform / Agentic AI Architect,Intellias,Cairo,Egypt,AI / Technology Services,AI Architecture,High,Principal-level AI platform experience,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4440528085/
23,Senior AI Governance,BBI,Cairo,Egypt,AI / Data Consulting,AI Governance,High,AI governance and risk experience,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4434827215/
24,Solutions Architect,QNBeyond Plus,Cairo,Egypt,FinTech / Digital Banking,Solution Architecture,High,Verify detailed technical stack,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4437226292/
25,Program Manager / Head of PMO,QNBeyond Plus,Cairo,Egypt,FinTech / Digital Banking,Program Management,High,PMO establishment and governance experience,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4437221415/
26,Project Manager - CRM,QNBeyond Plus,Cairo,Egypt,FinTech / CRM,Program Management,High,CRM implementation experience,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4437221417/
27,Project Manager - Core Banking,QNB Egypt,Cairo,Egypt,Banking Technology,Program Management,High,Core-banking project experience,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4437222427/
28,Solution Architect,Ericsson,Smart Village / Cairo,Egypt,Telecommunications,Solution Architecture,High,Telecom solution architecture experience,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4439895071/
29,Senior Solution Architect - Telecom & Network Services,Tech Mahindra,Cairo,Egypt,Telecommunications / Consulting,Solution Architecture,High,Senior telecom architecture background,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4439869381/
30,Data Architecture Senior Tech Lead,Vodafone,Giza,Egypt,Telecommunications,Data Architecture,High,Senior data-platform leadership,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4435912448/
31,IT Solution Architect,VOIS,Giza,Egypt,Shared Services / Telecom,Solution Architecture,High,Verify listing remains open,Listing page available,LinkedIn,https://www.linkedin.com/jobs/view/4356560149
32,Senior Modern Workplace Solutions Architect,CareersTech.Hub,Cairo,Egypt,Technology Services,Solution Architecture,High,Microsoft modern-workplace architecture,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4435659594/
33,Salesforce Architect,Cloud 11,Cairo,Egypt,Cloud / CRM,Solution Architecture,Medium,Salesforce architecture experience,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4435986280/
34,Data Solutions Presales Architect - English & French,Hewlett Packard Enterprise,Cairo,Egypt,Enterprise Technology,Solution Architecture,High,English and French required,Listing page available,LinkedIn,https://www.linkedin.com/jobs/view/4340103624/
35,IT Release and Change Management,TP,"Maadi, Cairo",Egypt,Customer Experience / Technology,IT Service Management,Medium,Release and change-management experience,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4437761549/
36,IT Operations Specialist,LEONI Egypt,"Nasr City, Cairo",Egypt,Automotive Manufacturing,IT Operations,Medium,Operations-focused role,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4438992068/
37,IT Analyst,Orange Business,Cairo,Egypt,Telecommunications / IT Services,IT Operations,Medium,Verify detailed requirements,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4440234866/
38,Information & Technology Coordinator,Marriott International,Cairo,Egypt,Hospitality,IT Operations,Low,Hotel IT operations role,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4437949614/
39,"Senior Applications Solutions Engineer - Fusion HCM, Health & Life Sciences",Oracle,Egypt,Egypt,Healthcare Technology / Cloud,Healthcare IT,High,Oracle Fusion and presales expertise,Listing page available,LinkedIn,https://www.linkedin.com/jobs/view/4361889046/
40,Web Portal Support Specialist - Tech,Mediconsult,Giza,Egypt,Hospitals & Healthcare,Healthcare IT,Medium,Portal support role,Listing page available,LinkedIn,https://www.linkedin.com/jobs/view/4346231591/
41,Project Manager / Senior Project Manager,RSA Security,Cairo,Egypt,Cybersecurity,Program Management,High,Professional-services delivery experience,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4440536994/
42,Technical Delivery Manager,Beetleware,Cairo,Egypt,Software / Technology Services,Program Management,High,Technical delivery leadership,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4438472898/
43,Information Technology Manager,SolutionMall,Cairo,Egypt,Technology / Enterprise Services,IT Leadership,High,Verify company and detailed scope,Listing page available,LinkedIn,https://www.linkedin.com/jobs/view/information-technology-manager-at-solutionmall-4392852334
44,Information & Technology Supervisor,Marriott International,Cairo,Egypt,Hospitality,IT Operations,Low,Hospitality IT operations,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4437951378/
45,SAP Solution Architect - Integrated Order Management,Coca-Cola HBC,Cairo,Egypt,FMCG / SAP,Enterprise Applications,High,SAP order-management architecture,Older listing page; verify status,LinkedIn,https://www.linkedin.com/jobs/view/4380330174/
46,Solution Architect - IIoT Manufacturing,Coca-Cola HBC,New Cairo,Egypt,Manufacturing / IIoT,Solution Architecture,High,Industrial IoT and manufacturing systems,Older listing page; verify status,LinkedIn,https://www.linkedin.com/jobs/view/4371841602/
47,IT Enterprise Applications Architect,Confidential / LinkedIn listing,Cairo,Egypt,Enterprise Applications,Enterprise Architecture,High,Employer details may require sign-in,Listing page available,LinkedIn,https://www.linkedin.com/jobs/view/4397919725/
48,Digital Transformation Manager,CAREER141 client,Egypt,Egypt,Recruitment / Client Role,Digital Transformation,High,Recruiter-managed role; verify employer,Listing page available,LinkedIn,https://lk.linkedin.com/jobs/view/digital-transformation-manager-at-career141-4340119935
49,System Analyst,Datamatics Technologies,Cairo,Egypt,Technology Services,Business Analysis,Medium,Systems-analysis role,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4435681672/
50,ERP Technical Support Specialist,dawatech,Cairo,Egypt,Enterprise Applications,Enterprise Applications,Medium,ERP support role,Posted July 2026,LinkedIn,https://www.linkedin.com/jobs/view/4438176823/
