ID,Company,Category,Headquarters,Region,Africa Presence,Fit Priority,Remote Indicator,Visa Indicator,Link Type,Career / Official URL,Suggested ICT Roles
1,Pfizer,Global Pharmaceuticals,"New York, USA",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.pfizer.com/about/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
31,Lundbeck,Global Pharmaceuticals,"Valby, Denmark",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.lundbeck.com/global/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
32,Almirall,Global Pharmaceuticals,"Barcelona, Spain",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.almirall.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
33,Recordati,Global Pharmaceuticals,"Milan, Italy",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.recordati.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
34,Menarini Group,Global Pharmaceuticals,"Florence, Italy",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.menarini.com/en-us/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
35,Sun Pharmaceutical Industries,Global Pharmaceuticals,"Mumbai, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://sunpharma.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
36,Dr. Reddy's Laboratories,Global Pharmaceuticals,"Hyderabad, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://careers.drreddys.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
37,Cipla,Global Pharmaceuticals,"Mumbai, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.cipla.com/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
38,Lupin,Global Pharmaceuticals,"Mumbai, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.lupin.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
39,Zydus Lifesciences,Global Pharmaceuticals,"Ahmedabad, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.zyduslife.com/careers.html,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
40,Aurobindo Pharma,Global Pharmaceuticals,"Hyderabad, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.aurobindo.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
41,Torrent Pharmaceuticals,Global Pharmaceuticals,"Ahmedabad, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.torrentpharma.com/careers.php,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
42,Glenmark Pharmaceuticals,Global Pharmaceuticals,"Mumbai, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://glenmarkpharma.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
43,Alkem Laboratories,Global Pharmaceuticals,"Mumbai, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.alkemlabs.com/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
44,Intas Pharmaceuticals,Global Pharmaceuticals,"Ahmedabad, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.intaspharma.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
45,Biocon,Global Pharmaceuticals,"Bengaluru, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.biocon.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
46,Gedeon Richter,Global Pharmaceuticals,"Budapest, Hungary",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.gedeonrichter.com/en/career,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
47,STADA,Global Pharmaceuticals,"Bad Vilbel, Germany",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.stada.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
48,Krka,Global Pharmaceuticals,"Novo Mesto, Slovenia",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.krka.biz/en/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
49,Orion Corporation,Global Pharmaceuticals,"Espoo, Finland",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.orion.fi/en/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
50,LEO Pharma,Global Pharmaceuticals,"Ballerup, Denmark",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.leo-pharma.com/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
51,Fresenius Kabi,Global Pharmaceuticals,"Bad Homburg, Germany",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Official site,https://karriere.fresenius.de/en-US,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
52,Hikma Pharmaceuticals,Global Pharmaceuticals,"London, UK",Middle East,Yes,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.hikma.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
53,Julphar,Global Pharmaceuticals,"Ras Al Khaimah, UAE",Middle East,Yes,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.julphar.net/en/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
54,SPIMACO,Global Pharmaceuticals,"Riyadh, Saudi Arabia",Middle East,Yes,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.spimaco.com.sa/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
55,Avalon Pharma,Global Pharmaceuticals,"Riyadh, Saudi Arabia",Middle East,Yes,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://avalonpharmaceutical.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
56,Neopharma,Global Pharmaceuticals,"Abu Dhabi, UAE",Middle East,Yes,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.neopharma.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
57,Globalpharma,Global Pharmaceuticals,"Dubai, UAE",Middle East,Yes,Medium,Limited / role-dependent,Possible for selected specialist roles,Official site,https://globalpharma.ae/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
58,Acino,Global Pharmaceuticals,"Zurich, Switzerland",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://acino.swiss/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
59,Aspen Pharmacare,Global Pharmaceuticals,"Durban, South Africa",Africa,Yes,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.aspenpharma.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
60,Adcock Ingram,Global Pharmaceuticals,"Johannesburg, South Africa",Africa,Yes,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.adcock.co.za/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
61,Emcure Pharmaceuticals,Global Pharmaceuticals,"Pune, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.emcure.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
62,Alembic Pharmaceuticals,Global Pharmaceuticals,"Vadodara, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://alembicpharmaceuticals.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
63,Ajanta Pharma,Global Pharmaceuticals,"Mumbai, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.ajantapharma.com/Careers.aspx,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
64,Macleods Pharmaceuticals,Global Pharmaceuticals,"Mumbai, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.macleodspharma.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
65,Hetero,Global Pharmaceuticals,"Hyderabad, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.heteroworld.com/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
66,Wockhardt,Global Pharmaceuticals,"Mumbai, India",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.wockhardt.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
67,Pharmascience,Global Pharmaceuticals,"Montreal, Canada",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.pharmascience.com/careers/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
68,Apotex,Global Pharmaceuticals,"Toronto, Canada",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.apotex.com/global/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
69,Bausch Health,Global Pharmaceuticals,"Laval, Canada",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://jobs.bauschhealth.com/,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
70,Perrigo,Global Pharmaceuticals,"Dublin, Ireland",Global,Likely,Medium,Limited / role-dependent,Possible for selected specialist roles,Careers,https://www.perrigo.com/careers,Enterprise Architecture | Digital Transformation | ERP & Manufacturing Systems | Data & Analytics | IT Governance
71,Amgen,Biotechnology & Specialty Pharma,"Thousand Oaks, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://careers.amgen.com/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
72,Gilead Sciences,Biotechnology & Specialty Pharma,"Foster City, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.gilead.com/careers,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
73,Regeneron Pharmaceuticals,Biotechnology & Specialty Pharma,"Tarrytown, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://careers.regeneron.com/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
74,Moderna,Biotechnology & Specialty Pharma,"Cambridge, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.modernatx.com/en-US/careers,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
75,BioNTech,Biotechnology & Specialty Pharma,"Mainz, Germany",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://careers.biontech.com/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
76,Biogen,Biotechnology & Specialty Pharma,"Cambridge, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://careers.biogen.com/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
77,Vertex Pharmaceuticals,Biotechnology & Specialty Pharma,"Boston, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.vrtx.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
78,BeOne Medicines,Biotechnology & Specialty Pharma,"Basel, Switzerland",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://beonemedicines.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
79,Alnylam Pharmaceuticals,Biotechnology & Specialty Pharma,"Cambridge, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.alnylam.com/careers,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
80,Incyte,Biotechnology & Specialty Pharma,"Wilmington, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://careers.incyte.com/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
81,argenx,Biotechnology & Specialty Pharma,"Ghent, Belgium",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.argenx.com/careers,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
82,BioMarin Pharmaceutical,Biotechnology & Specialty Pharma,"San Rafael, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://careers.biomarin.com/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
83,Sarepta Therapeutics,Biotechnology & Specialty Pharma,"Cambridge, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.sarepta.com/careers,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
84,CRISPR Therapeutics,Biotechnology & Specialty Pharma,"Zug, Switzerland",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.crisprtx.com/careers,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
85,Intellia Therapeutics,Biotechnology & Specialty Pharma,"Cambridge, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.intelliatx.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
86,Editas Medicine,Biotechnology & Specialty Pharma,"Cambridge, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.editasmedicine.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
87,Beam Therapeutics,Biotechnology & Specialty Pharma,"Cambridge, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://beamtx.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
88,Ultragenyx Pharmaceutical,Biotechnology & Specialty Pharma,"Novato, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://careers.ultragenyx.com/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
89,Ascendis Pharma,Biotechnology & Specialty Pharma,"Hellerup, Denmark",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://ascendispharma.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
90,Genmab,Biotechnology & Specialty Pharma,"Copenhagen, Denmark",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.genmab.com/careers,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
91,Legend Biotech,Biotechnology & Specialty Pharma,"Somerset, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://legendbiotech.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
92,Zai Lab,Biotechnology & Specialty Pharma,"Shanghai, China",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.zailaboratory.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
93,Jazz Pharmaceuticals,Biotechnology & Specialty Pharma,"Dublin, Ireland",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://careers.jazzpharma.com/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
94,Neurocrine Biosciences,Biotechnology & Specialty Pharma,"San Diego, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://careers.neurocrine.com/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
95,Exelixis,Biotechnology & Specialty Pharma,"Alameda, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.exelixis.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
96,Blueprint Medicines,Biotechnology & Specialty Pharma,"Cambridge, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.blueprintmedicines.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
97,Immunocore,Biotechnology & Specialty Pharma,"Abingdon, UK",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.immunocore.com/careers,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
98,Adaptive Biotechnologies,Biotechnology & Specialty Pharma,"Seattle, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.adaptivebiotech.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
99,AbCellera,Biotechnology & Specialty Pharma,"Vancouver, Canada",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.abcellera.com/careers,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
100,Recursion,Biotechnology & Specialty Pharma,"Salt Lake City, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.recursion.com/careers,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
101,Schrödinger,Biotechnology & Specialty Pharma,"New York, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.schrodinger.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
102,Twist Bioscience,Biotechnology & Specialty Pharma,"South San Francisco, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.twistbioscience.com/company/careers,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
103,Ginkgo Bioworks,Biotechnology & Specialty Pharma,"Boston, USA",Global,Varies,Medium,Often role-dependent,Possible for selected specialist roles,Careers,https://www.ginkgobioworks.com/careers/,R&D Digital Platforms | Data Engineering | Cloud & Cybersecurity | Enterprise Applications | Technical Program Management
