id,name,country,region,kind,focus,url,coverage,fit,notes
102,Sundus Recruitment Qatar,Qatar,GCC,Recruitment Agency,Professional and project staffing,https://www.sundusglobal.com/,GCC,High,
103,Candidzone,Qatar,GCC,Recruitment Agency,Professional staffing in Qatar,https://www.candidzone.net/,GCC,High,
104,MSI Qatar,Qatar,GCC,Recruitment Agency,Management Solutions International recruitment,https://www.msiqatar.com/,GCC,Medium,
105,People Dynamics,Qatar,GCC,Recruitment Agency,Professional and executive recruitment,https://ppldynamics.com/,GCC,High,
106,Vistas Global,Qatar,GCC,Staffing & Outsourcing,Technology and business staffing,https://vistasglobal.com/,GCC,High,
107,Oman Agencies,Oman,GCC,Overseas Recruitment,Gulf staffing and manpower,https://www.omangencies.com/,GCC,Medium,
108,MENA HR Solutions,Oman,GCC,HR Consultancy,Recruitment and HR services,https://menahrs.com/,GCC,Medium,
109,Kuwait Resources House,Kuwait,GCC,HR Outsourcing,Recruitment and manpower services,https://www.krhkw.com/,GCC,Medium,
110,SOS HR Solutions,Kuwait,GCC,Recruitment Agency,Professional recruitment and HR solutions,https://soshrsolutions.com/,GCC,High,
111,WUZZUF,Egypt,Egypt,Job Platform,Professional and management jobs,https://wuzzuf.net/jobs/egypt,Egypt,High,
112,Forasna,Egypt,Egypt,Job Platform,"Arabic jobs, technical and operational roles",https://forasna.com/,Egypt,Medium,
113,Jobzella,Egypt,Egypt / MENA,Job Platform,Professional networking and job search,https://www.jobzella.com/,Egypt / MENA,High,
114,Tawzef,Egypt,Egypt / GCC,Recruitment & HR Consultancy,"Local, overseas and executive recruitment",https://www.tawzef.com/,Egypt / GCC,High,
115,Top Business Group,Egypt,Egypt,Recruitment & Outsourcing,Professional recruitment and outsourcing,https://www.topbusiness-hr.com/,Egypt,High,
116,Target Recruitment & HR Solutions,Egypt,Egypt,Recruitment Agency,Professional recruitment and HR services,https://targetdhr.com/,Egypt,High,
117,Staff Arabia,Egypt,Egypt / GCC,Recruitment & Outsourcing,"Professional recruitment, payroll and Gulf hiring",https://staffarabia.com/,Egypt / GCC,High,
118,EgyBell,Egypt,Egypt,Staffing & Outsourcing,"Technology, telecom and professional outsourcing",https://www.egybell.com/,Egypt,High,
119,Premier Services & Recruitment,Egypt,Egypt,Recruitment & Outsourcing,Professional staffing and outsourcing,https://premieregypt.com/,Egypt,High,
120,Recruitment House,Egypt,Egypt,Recruitment Agency,Professional and corporate recruitment,https://recruitmenthouse.com/,Egypt,High,
121,MBS HR,Egypt,Egypt / GCC,Recruitment & HR Consultancy,Professional and overseas recruitment,https://mbshr.com/,Egypt / GCC,High,
122,Job Nile,Egypt,Egypt,Job Platform,Egypt jobs and career services,https://www.jobnile.com/,Egypt,Medium,
123,Career Advancers,Egypt,Egypt,Recruitment Agency,Executive and professional recruitment,https://careeradvancers.com/,Egypt,High,
124,RAWAJ HCM,Egypt,Egypt / GCC,Recruitment & HR Consultancy,Executive search and human-capital management,https://rawaj-hcm.com/,Egypt / GCC,High,
125,Merge Recruitment Agency,Egypt,Egypt / GCC,Recruitment Agency,Local and overseas recruitment,https://mergerecruitment.com/,Egypt / GCC,Medium,
126,El Maaly Egypt,Egypt,Egypt / GCC,Overseas Recruitment,GCC and international recruitment,https://elmaalygroup.net/,Egypt / GCC,Medium,
127,ArabJobs,Egypt,Egypt / Arab Region,Job Platform,Arab regional job listings,https://www.arabjobs.com/,Egypt / Arab Region,Medium,
128,Career Hunters Egypt,Egypt,Egypt,Recruitment Agency,Professional and executive recruitment,https://careerhunterseg.com/,Egypt,High,
129,Pillars Consultancy & Recruitment,Egypt,Egypt / MENA,Executive Search,Executive and professional recruitment,https://www.pillars-eg.com/,Egypt / MENA,High,
130,Partner & More,Egypt,Egypt,Recruitment Agency,Recruitment and HR consultancy,https://partner-more.com/,Egypt,Medium,
131,Smart Group HR,Egypt,Egypt,HR Outsourcing,"Staffing, payroll and recruitment",https://smartgroup-hr.com/,Egypt,Medium,
132,EgyRec,Egypt,Egypt,Recruitment Agency,Professional recruitment,https://egyrec.com/,Egypt,High,
133,Job Master,Egypt,Egypt,Recruitment Agency,Professional recruitment services,https://jobmastergroup.com/,Egypt,High,
134,Human Capital Egypt,Egypt,Egypt,HR Consultancy,Recruitment and HR consulting,https://humancapital-eg.com/,Egypt,Medium,
135,CAP HR Solutions,Egypt,Egypt,HR Consultancy,"Recruitment, payroll and HR solutions",https://cap-hr.com/,Egypt,Medium,
136,First Egyptian Engineering Recruitment,Egypt,Egypt / GCC,Technical Recruitment,Engineering and overseas recruitment,https://www.first-egy.com/,Egypt / GCC,High,
137,Egyptrol,Egypt,Egypt / GCC,Technical Recruitment,"Oil, gas, engineering and overseas staffing",https://www.egyptrol.com/,Egypt / GCC,High,
138,Right Track Recruitment,Egypt,Egypt,Recruitment Agency,Professional recruitment and HR services,https://righttrack-eg.com/,Egypt,High,
139,Shaghalni,Egypt,Egypt,Job Platform,Blue-collar and operational job matching,https://shaghalni.com/,Egypt,Medium,
140,Jobiano,Egypt,Egypt,Job Platform,Egypt job listings,https://jobiano.com/,Egypt,Medium,
141,AfricaWork,Pan-Africa,Africa,Recruitment Platform,Recruitment and CV databases across African countries,https://www.africawork.com/,Africa,High,
142,ExecAfrica Recruitment,Kenya,East Africa,Recruitment Agency,"Executive, professional and bulk recruitment",https://www.execafrica.com/,East Africa,High,
143,Michael Page Africa,Africa,Africa,Specialist Recruitment,Professional and executive recruitment,https://www.michaelpageafrica.com/,Africa,High,
144,Robert Walters Africa,Africa,Africa,Specialist Recruitment,Professional and executive recruitment,https://www.robertwaltersafrica.com/,Africa,High,
145,CA Global,South Africa,Africa,Executive Search,"Mining, finance, technology and Africa recruitment",https://www.caglobalint.com/,Africa,High,
146,Adcorp,South Africa,Southern Africa,Workforce Solutions,"Staffing, outsourcing and workforce services",https://www.adcorpgroup.com/,Southern Africa,Medium,
147,Afrizan People Intelligence,South Africa,Southern Africa,Recruitment Agency,Professional and specialist recruitment,https://www.afrizan.co.za/,Southern Africa,High,
148,Network Recruitment,South Africa,Southern Africa,Specialist Recruitment,"IT, finance and engineering recruitment",https://www.networkrecruitment.co.za/,Southern Africa,High,
149,Communicate Recruitment,South Africa,Southern Africa,Specialist Recruitment,"IT, finance and engineering",https://www.communicate.co.za/,Southern Africa,High,
150,Hire Resolve,South Africa,Africa,Recruitment Agency,"Engineering, finance, IT and healthcare recruitment",https://www.hireresolve.co.za/,Africa,High,
151,RPO Recruitment,South Africa,Africa,Recruitment Agency,Professional and technical recruitment,https://www.rporecruitment.co.za/,Africa,High,
152,Mass Staffing Projects,South Africa,Africa,Recruitment Agency,"Engineering, mining, healthcare and finance",https://www.massstaffingprojects.co.za/,Africa,Medium,
153,Datafin,South Africa,Southern Africa,Technology Recruitment,"IT, software and data recruitment",https://www.datafin.com/,Southern Africa,High,
154,E-Merge IT Recruitment,South Africa,Southern Africa,Technology Recruitment,Software and technology recruitment,https://www.e-merge.co.za/,Southern Africa,High,
155,SET Recruitment Consultants,South Africa,Southern Africa,Recruitment Agency,Professional and executive recruitment,https://www.set.co.za/,Southern Africa,High,
156,Pollock & Associates,South Africa,Southern Africa,Executive Recruitment,Executive and specialist recruitment,https://www.pollock.co.za/,Southern Africa,High,
157,Measured Ability Group,South Africa,Southern Africa,Staffing & Recruitment,Professional staffing and labour services,https://www.measuredability.com/,Southern Africa,High,
158,Greys Recruitment,South Africa,Southern Africa,Recruitment Agency,Permanent and temporary staffing,https://www.greys.co.za/,Southern Africa,Medium,
159,Kontak Recruitment,South Africa,Southern Africa,Recruitment Agency,Professional recruitment across sectors,https://www.kontak.co.za/,Southern Africa,High,
160,The Recruitment People,South Africa,Southern Africa,Recruitment Agency,"Finance, sales, IT and corporate recruitment",https://www.trpeople.co.za/,Southern Africa,High,
161,ProTalent,South Africa,Southern Africa,Recruitment Agency,Professional and specialist recruitment,https://www.protalent.co.za/,Southern Africa,High,
162,Executive Placements,South Africa,Southern Africa,Job Platform,Executive and professional jobs,https://www.executiveplacements.com/,Southern Africa,High,
163,PNet,South Africa,Southern Africa,Job Platform,Professional jobs in South Africa,https://www.pnet.co.za/,Southern Africa,High,
164,Careers24,South Africa,Southern Africa,Job Platform,South African job marketplace,https://www.careers24.com/,Southern Africa,Medium,
165,Jobberman Nigeria,Nigeria,West Africa,Job Platform,Nigeria jobs and recruitment services,https://www.jobberman.com/,West Africa,High,
166,Jobberman Ghana,Ghana,West Africa,Job Platform,Ghana jobs and recruitment services,https://www.jobberman.com.gh/,West Africa,High,
167,BrighterMonday Kenya,Kenya,East Africa,Job Platform,Kenya jobs and recruitment services,https://www.brightermonday.co.ke/,East Africa,High,
168,BrighterMonday Uganda,Uganda,East Africa,Job Platform,Uganda jobs and recruitment services,https://www.brightermonday.co.ug/,East Africa,High,
169,Fuzu,Kenya / Africa,East Africa,Job Platform,"Jobs, career development and talent matching",https://www.fuzu.com/,East Africa,Medium,
170,MyJobMag,Africa,Africa,Job Platform,Jobs across multiple African countries,https://www.myjobmag.com/,Africa,Medium,
171,JobWeb Africa,Africa,Africa,Job Platform,Jobs across African countries,https://jobwebafrica.com/,Africa,Medium,
172,Job in Rwanda,Rwanda,East Africa,Job Platform,Rwanda job marketplace,https://www.jobinrwanda.com/,East Africa,Medium,
173,Ethiojobs,Ethiopia,East Africa,Job Platform,Ethiopia jobs and recruitment,https://www.ethiojobs.net/,East Africa,High,
174,Dereja,Ethiopia,East Africa,Graduate Job Platform,Graduate and professional opportunities,https://www.dereja.com/,East Africa,High,
175,GeezJobs,Ethiopia,East Africa,Job Platform,Ethiopia job listings,https://geezjobs.com/,East Africa,Medium,
176,Corporate Staffing Services,Kenya,East Africa,Recruitment Agency,Professional and executive recruitment,https://www.corporatestaffing.co.ke/,East Africa,High,
177,Summit Recruitment & Search,Kenya,East Africa,Recruitment Agency,Executive and professional recruitment,https://www.summitrecruitment-search.com/,East Africa,High,
178,Flexi Personnel,Kenya,East Africa,Staffing & Recruitment,Professional staffing and outsourcing,https://www.flexi-personnel.com/,East Africa,High,
179,Manpower Services Kenya,Kenya,East Africa,Recruitment Agency,Professional and technical recruitment,https://www.manpowerservicesgroup.com/,East Africa,High,
180,Recours Four Kenya,Kenya,East Africa,Recruitment Agency,Professional recruitment and HR advisory,https://www.recoursfourkenya.com/,East Africa,High,
181,Crystal Recruitment,Kenya,East Africa,Recruitment Agency,Professional recruitment,https://crystalrecruitment.co.ke/,East Africa,High,
182,Sheer Logic Management,Kenya,East Africa,HR Consultancy,Recruitment and HR consulting,https://sheerlogic.co.ke/,East Africa,High,
183,Gap Recruitment Services,Kenya,East Africa,Recruitment Agency,Professional and executive recruitment,https://www.gaprecruitment.co.ke/,East Africa,High,
184,Frank Management Consult,Kenya,East Africa,Recruitment Agency,Executive and professional recruitment,https://frankmconsult.com/,East Africa,High,
185,NFT Consult,Uganda,East Africa,HR Consultancy,Recruitment and HR outsourcing,https://nftconsult.com/,East Africa,High,
186,Q-Sourcing Servtec,Uganda,East Africa,Staffing & Outsourcing,"Manpower, recruitment and outsourcing",https://www.qsourcing.com/,East Africa,High,
187,Future Options Consulting,Uganda,East Africa,Recruitment Agency,Professional recruitment and HR consulting,https://futureoptions.org/,East Africa,High,
188,Great Uganda Jobs,Uganda,East Africa,Job Platform,Uganda job listings,https://www.greatugandajobs.com/,East Africa,Medium,
189,Radar Recruitment,Tanzania,East Africa,Recruitment Agency,Professional recruitment in Tanzania,https://radarrecruitment.com/,East Africa,High,
190,CVPeople Tanzania,Tanzania,East Africa,Recruitment Agency,Recruitment and CV services,https://cvpeopleafrica.com/,East Africa,High,
191,Empower Tanzania,Tanzania,East Africa,HR Consultancy,Recruitment and HR services,https://empower.co.tz/,East Africa,High,
192,ZoomTanzania Jobs,Tanzania,East Africa,Job Platform,Tanzania job listings,https://www.zoomtanzania.net/jobs/,East Africa,Medium,
193,Emploi Dakar,Senegal,West Africa,Job Platform,Senegal jobs and career services,https://www.emploidakar.com/,West Africa,Medium,
194,Senjob,Senegal,West Africa,Job Platform,Senegal job listings,https://senjob.com/,West Africa,Medium,
195,ReKrute,Morocco,North Africa,Job Platform,Morocco professional jobs,https://www.rekrute.com/,North Africa,High,
196,Emploi.ma,Morocco,North Africa,Job Platform,Morocco jobs and recruitment,https://www.emploi.ma/,North Africa,High,
197,AmalJob,Morocco,North Africa,Job Platform,Morocco job listings,https://www.amaljob.com/,North Africa,Medium,
198,Keejob,Tunisia,North Africa,Job Platform,Tunisia jobs and recruitment,https://www.keejob.com/,North Africa,High,
199,Tanitjobs,Tunisia,North Africa,Job Platform,Tunisia job listings,https://www.tanitjobs.com/,North Africa,Medium,
200,Emploitunisie,Tunisia,North Africa,Job Platform,Tunisia employment listings,https://www.emploitunisie.com/,North Africa,Medium,
