id,name,country,region,sector,url,fit,notes
102,ACWA Power,Saudi Arabia,GCC,Energy & Utilities,https://careers.acwapower.com/,High,
103,Ma'aden,Saudi Arabia,GCC,Mining,https://careers.maaden.com.sa/,High,
104,Saudi Electricity Company,Saudi Arabia,GCC,Utilities,https://careers.se.com.sa/,High,
105,Bahri,Saudi Arabia,GCC,Shipping & Logistics,https://careers.bahri.sa/,High,
106,Elm,Saudi Arabia,GCC,Digital Government & Technology,https://careers.elm.sa/,High,
107,solutions by stc,Saudi Arabia,GCC,Technology & Digital Services,https://solutions.com.sa/careers/,High,
108,Lean Technologies,Saudi Arabia,GCC,FinTech,https://www.leantech.me/careers,High,
109,Tamara,Saudi Arabia,GCC,FinTech,https://www.tamara.co/en/careers,High,
110,Jahez,Saudi Arabia,GCC,Technology & Delivery,https://jahezgroup.com/careers/,High,
111,Almarai,Saudi Arabia,GCC,FMCG,https://careers.almarai.com/,High,
112,Jarir Marketing,Saudi Arabia,GCC,Retail,https://www.jarir.com/sa-en/careers,High,
113,Emirates Group,United Arab Emirates,GCC,Aviation,https://www.emiratesgroupcareers.com/,High,
114,Etihad Airways,United Arab Emirates,GCC,Aviation,https://careers.etihad.com/,High,
115,flydubai,United Arab Emirates,GCC,Aviation,https://careers.flydubai.com/,High,
116,DP World,United Arab Emirates,GCC,Ports & Logistics,https://www.dpworld.com/careers,High,
117,ADNOC,United Arab Emirates,GCC,Energy,https://jobs.adnoc.ae/,High,
118,ENOC,United Arab Emirates,GCC,Energy,https://careers.enoc.com/,High,
119,TAQA,United Arab Emirates,GCC,Energy & Utilities,https://careers.taqa.com/,High,
120,Masdar,United Arab Emirates,GCC,Renewable Energy,https://masdar.ae/en/careers,High,
121,e&,United Arab Emirates,GCC,Telecommunications & Technology,https://careers.eand.com/,High,
122,du,United Arab Emirates,GCC,Telecommunications,https://careers.du.ae/,High,
123,Emirates NBD,United Arab Emirates,GCC,Banking,https://www.emiratesnbd.com/en/careers,High,
124,First Abu Dhabi Bank,United Arab Emirates,GCC,Banking,https://careers.bankfab.com/,High,
125,Abu Dhabi Commercial Bank,United Arab Emirates,GCC,Banking,https://www.adcb.com/en/about-us/careers/,High,
126,Mashreq,United Arab Emirates,GCC,Banking,https://careers.mashreq.com/,High,
127,Dubai Islamic Bank,United Arab Emirates,GCC,Banking,https://careers.dib.ae/,High,
128,Majid Al Futtaim,United Arab Emirates,GCC,Retail & Real Estate,https://careers.majidalfuttaim.com/,High,
129,Al-Futtaim Group,United Arab Emirates,GCC,Diversified Conglomerate,https://www.afuturewithus.com/,High,
130,Landmark Group,United Arab Emirates,GCC,Retail & Digital,https://careers.landmarkgroup.com/,High,
131,Chalhoub Group,United Arab Emirates,GCC,Luxury Retail,https://careers.chalhoubgroup.com/,High,
132,GMG,United Arab Emirates,GCC,Retail & Distribution,https://careers.gmg.com/,High,
133,DAMAC,United Arab Emirates,GCC,Real Estate,https://careers.damacproperties.com/,High,
134,Emaar Properties,United Arab Emirates,GCC,Real Estate,https://careers.emaar.com/,High,
135,Aldar Properties,United Arab Emirates,GCC,Real Estate,https://careers.aldar.com/,High,
136,Mubadala,United Arab Emirates,GCC,Investment,https://careers.mubadala.com/,High,
137,G42,United Arab Emirates,GCC,AI & Technology,https://www.g42.ai/careers,High,
138,M42,United Arab Emirates,GCC,Healthcare Technology,https://m42.ae/careers/,High,
139,PureHealth,United Arab Emirates,GCC,Healthcare,https://purehealth.ae/careers/,High,
140,Burjeel Holdings,United Arab Emirates,GCC,Healthcare,https://burjeelholdings.com/careers/,High,
141,Mediclinic Middle East,United Arab Emirates,GCC,Healthcare,https://careers.mediclinic.ae/,High,
142,Careem,United Arab Emirates,GCC,Technology & Mobility,https://www.careem.com/en-AE/careers/,High,
143,noon,United Arab Emirates,GCC,E-commerce & Technology,https://careers.noon.com/,High,
144,Qatar Airways,Qatar,GCC,Aviation,https://careers.qatarairways.com/,High,
145,QatarEnergy,Qatar,GCC,Energy,https://careerportal.qatarenergy.qa/jobs,High,
146,Ooredoo Qatar,Qatar,GCC,Telecommunications,https://www.ooredoo.com/en/careers/,High,
147,QNB Group,Qatar,GCC,Banking,https://www.qnb.com/sites/qnb/qnbglobal/page/en/encareers.html,High,
148,Commercial Bank Qatar,Qatar,GCC,Banking,https://careers.cbq.qa/,High,
149,Doha Bank,Qatar,GCC,Banking,https://www.dohabank.com.qa/careers/,High,
150,Masraf Al Rayan,Qatar,GCC,Banking,https://www.alrayan.com/careers,High,
151,Nakilat,Qatar,GCC,Shipping & Energy,https://careers.nakilat.com/,High,
152,Milaha,Qatar,GCC,Shipping & Logistics,https://careers.milaha.com/,High,
153,Qatari Diar,Qatar,GCC,Real Estate,https://www.qataridiar.com/careers,High,
154,Baladna,Qatar,GCC,FMCG,https://baladna.com/careers/,High,
155,Mannai Corporation,Qatar,GCC,Diversified & Technology,https://www.mannai.com/careers/,High,
156,Omantel,Oman,GCC,Telecommunications,https://careers.omantel.om/,High,
157,Ooredoo Oman,Oman,GCC,Telecommunications,https://www.ooredoo.om/Personal/About-Us/Careers.aspx,High,
158,Bank Muscat,Oman,GCC,Banking,https://www.bankmuscat.com/en/about/careers/Pages/default.aspx,High,
159,Bank Dhofar,Oman,GCC,Banking,https://www.bankdhofar.com/careers,High,
160,OQ,Oman,GCC,Energy,https://careers.oq.com/,High,
161,Oman Air,Oman,GCC,Aviation,https://careers.omanair.com/,High,
162,Asyad Group,Oman,GCC,Logistics,https://asyad.om/careers,High,
163,Renaissance Services,Oman,GCC,Services & Logistics,https://www.renaissanceservices.com/careers/,High,
164,Zain Kuwait,Kuwait,GCC,Telecommunications,https://careers.kw.zain.com/,High,
165,Ooredoo Kuwait,Kuwait,GCC,Telecommunications,https://www.ooredoo.com.kw/en/About-Us/Careers,High,
166,stc Kuwait,Kuwait,GCC,Telecommunications,https://careers.stc.com.kw/,High,
167,National Bank of Kuwait,Kuwait,GCC,Banking,https://careers.nbk.com/,High,
168,Kuwait Finance House,Kuwait,GCC,Banking,https://www.kfh.com/en/home/Personal/careers.html,High,
169,Agility,Kuwait,GCC,Logistics,https://www.agility.com/en/careers/,High,
170,Alshaya Group,Kuwait,GCC,Retail,https://careers.alshaya.com/,High,
171,Alghanim Industries,Kuwait,GCC,Diversified Conglomerate,https://careers.alghanim.com/,High,
172,Batelco,Bahrain,GCC,Telecommunications,https://careers.batelco.com/,High,
173,Bank ABC,Bahrain,GCC,Banking,https://www.bank-abc.com/en/Careers,High,
174,Ahli United Bank,Bahrain,GCC,Banking,https://www.ahliunited.com/bh/careers/,High,
175,Gulf Air,Bahrain,GCC,Aviation,https://careers.gulfair.com/,High,
176,Bapco Energies,Bahrain,GCC,Energy,https://www.bapcoenergies.com/careers/,High,
177,Aluminium Bahrain,Bahrain,GCC,Industrial,https://www.albasmelter.com/careers/,High,
178,Investcorp,Bahrain,GCC,Investment,https://www.investcorp.com/careers/,High,
179,Arab Bank,Jordan,Levant,Banking,https://www.arabbank.com/careers,High,
180,Capital Bank of Jordan,Jordan,Levant,Banking,https://www.capitalbank.jo/careers,High,
181,Housing Bank for Trade and Finance,Jordan,Levant,Banking,https://www.hbtf.com/en/careers,High,
182,Jordan Kuwait Bank,Jordan,Levant,Banking,https://www.jkb.com/en/careers,High,
183,Zain Jordan,Jordan,Levant,Telecommunications,https://careers.jo.zain.com/,High,
184,Orange Jordan,Jordan,Levant,Telecommunications,https://orange.jo/en/corporate/careers,High,
185,Umniah,Jordan,Levant,Telecommunications,https://www.umniah.com/careers/,High,
186,Hikma Pharmaceuticals,Jordan,Levant,Pharmaceuticals,https://www.hikma.com/careers/,High,
187,Nuqul Group,Jordan,Levant,Diversified Conglomerate,https://www.nuqulgroup.com/careers/,High,
188,Aramex,Jordan / UAE,Arab Region,Logistics,https://careers.aramex.com/,High,
189,Bank Audi,Lebanon,Levant,Banking,https://www.bankaudi.com.lb/careers,High,
190,BLOM Bank,Lebanon,Levant,Banking,https://www.blombank.com/careers,High,
191,Byblos Bank,Lebanon,Levant,Banking,https://www.byblosbank.com/careers,High,
192,Murex,Lebanon,Levant,Financial Technology,https://careers.murex.com/,High,
193,M1 Group,Lebanon,Levant,Investment & Telecom,https://www.m1group.com/,High,
194,Attijariwafa Bank,Morocco,North Africa,Banking,https://www.attijariwafabank.com/en/careers,High,
195,Banque Centrale Populaire,Morocco,North Africa,Banking,https://www.groupebcp.com/,High,
196,Bank of Africa Morocco,Morocco,North Africa,Banking,https://www.bankofafrica.ma/en/group/careers,High,
197,Maroc Telecom,Morocco,North Africa,Telecommunications,https://www.iam.ma/,High,
198,inwi,Morocco,North Africa,Telecommunications,https://inwi.ma/entreprise/carrieres,High,
199,Orange Morocco,Morocco,North Africa,Telecommunications,https://orange.jobs/,High,
200,Marjane Group,Morocco,North Africa,Retail,https://www.marjane.ma/,High,
201,Akwa Group,Morocco,North Africa,Energy & Diversified,https://akwagroup.com/,High,
202,Dislog Group,Morocco,North Africa,Distribution & Industrial,https://dislogroup.com/,High,
203,Cevital,Algeria,North Africa,Diversified Conglomerate,https://www.cevital.com/,High,
204,Djezzy,Algeria,North Africa,Telecommunications,https://www.djezzy.dz/,High,
205,Ooredoo Algeria,Algeria,North Africa,Telecommunications,https://www.ooredoo.dz/,High,
206,Condor Electronics,Algeria,North Africa,Electronics & Manufacturing,https://www.condor.dz/,High,
207,Biopharm Algeria,Algeria,North Africa,Pharmaceuticals,https://www.biopharmdz.com/,High,
208,Alliance Assurances,Algeria,North Africa,Insurance,https://www.allianceassurances.com.dz/,High,
209,BIAT,Tunisia,North Africa,Banking,https://www.biat.com.tn/,High,
210,Amen Bank,Tunisia,North Africa,Banking,https://www.amenbank.com.tn/,High,
211,Ooredoo Tunisia,Tunisia,North Africa,Telecommunications,https://www.ooredoo.tn/,High,
212,Orange Tunisia,Tunisia,North Africa,Telecommunications,https://orange.jobs/,High,
213,Telnet Holding,Tunisia,North Africa,Technology & Engineering,https://www.telnet-holding.com/,High,
214,Poulina Group Holding,Tunisia,North Africa,Diversified Conglomerate,https://www.poulinagroupholding.com/,High,
215,Vermeg,Tunisia,North Africa,Financial Technology,https://www.vermeg.com/careers/,High,
216,Zain Iraq,Iraq,Arab Region,Telecommunications,https://careers.iq.zain.com/,High,
217,Asiacell,Iraq,Arab Region,Telecommunications,https://www.asiacell.com/careers,High,
218,Korek Telecom,Iraq,Arab Region,Telecommunications,https://www.korektel.com/careers,High,
219,Naspers,South Africa,Southern Africa,Technology & Investment,https://www.naspers.com/careers,High,
220,Prosus,South Africa / Netherlands,Africa / Global,Technology Investment,https://www.prosus.com/careers,High,
221,MTN Group,South Africa,Africa,Telecommunications,https://www.mtn.com/careers/,High,
222,Vodacom Group,South Africa,Africa,Telecommunications,https://careers.vodafone.com/vodacom/,High,
223,Telkom South Africa,South Africa,Southern Africa,Telecommunications,https://www.telkom.co.za/careers,High,
224,Standard Bank Group,South Africa,Africa,Banking,https://careers.standardbank.com/,High,
225,Absa Group,South Africa,Africa,Banking,https://www.absa.africa/careers/,High,
226,Nedbank,South Africa,Southern Africa,Banking,https://jobs.nedbank.co.za/,High,
227,FirstRand,South Africa,Africa,Banking & Financial Services,https://www.firstrand.co.za/careers/,High,
228,Discovery,South Africa,Southern Africa,Insurance & Health,https://careers.discovery.co.za/,High,
229,Sanlam,South Africa,Africa,Financial Services,https://careers.sanlamcloud.co.za/,High,
230,Old Mutual,South Africa,Africa,Financial Services,https://careers.oldmutual.com/,High,
231,Shoprite Holdings,South Africa,Africa,Retail,https://shopriteholdings.co.za/careers.html,High,
232,Pick n Pay,South Africa,Southern Africa,Retail,https://www.pnp.co.za/careers,High,
233,Woolworths Holdings,South Africa,Southern Africa,Retail,https://careers.woolworths.co.za/,High,
234,Massmart,South Africa,Southern Africa,Retail,https://www.massmart.co.za/careers/,High,
235,Sasol,South Africa,Africa,Energy & Chemicals,https://jobs.sasol.com/,High,
236,Anglo American,South Africa / Global,Africa,Mining,https://www.angloamerican.com/careers,High,
237,De Beers Group,South Africa / Global,Africa,Mining,https://www.debeersgroup.com/careers,High,
238,Gold Fields,South Africa,Africa,Mining,https://careers.goldfields.com/,High,
239,Sibanye-Stillwater,South Africa,Africa,Mining,https://www.sibanyestillwater.com/careers/,High,
240,Aspen Pharmacare,South Africa,Africa,Pharmaceuticals,https://www.aspenpharma.com/careers/,High,
241,Bidvest Group,South Africa,Southern Africa,Diversified Services,https://www.bidvest.co.za/careers.php,High,
242,MultiChoice Group,South Africa,Africa,Media & Technology,https://careers.multichoice.com/,High,
243,Takealot,South Africa,Southern Africa,E-commerce & Technology,https://www.takealot.group/careers/,High,
244,Dimension Data,South Africa,Africa,Technology Services,https://www.dimensiondata.com/careers,High,
245,BCX,South Africa,Africa,Technology Services,https://www.bcx.co.za/careers/,High,
246,Capitec Bank,South Africa,Southern Africa,Banking & FinTech,https://careers.capitecbank.co.za/,High,
247,Dangote Group,Nigeria,West Africa,Diversified Conglomerate,https://careers.dangote.com/,High,
248,MTN Nigeria,Nigeria,West Africa,Telecommunications,https://www.mtn.ng/careers/,High,
249,Airtel Nigeria,Nigeria,West Africa,Telecommunications,https://www.airtel.com.ng/careers/,High,
250,Globacom,Nigeria,West Africa,Telecommunications,https://www.gloworld.com/ng/careers/,High,
251,Access Holdings,Nigeria,Africa,Banking,https://www.accessbankplc.com/careers,High,
252,GTCO,Nigeria,West Africa,Banking & Financial Services,https://www.gtbank.com/about/careers,High,
253,Zenith Bank,Nigeria,West Africa,Banking,https://www.zenithbank.com/careers/,High,
254,United Bank for Africa,Nigeria,Africa,Banking,https://www.ubagroup.com/careers/,High,
255,FirstBank Nigeria,Nigeria,West Africa,Banking,https://www.firstbanknigeria.com/home/careers/,High,
256,Interswitch,Nigeria,Africa,Payments Technology,https://www.interswitchgroup.com/careers,High,
257,Flutterwave,Nigeria / Global,Africa,FinTech,https://flutterwave.com/us/careers,High,
258,Paystack,Nigeria,Africa,FinTech,https://paystack.com/careers,High,
259,Oando,Nigeria,West Africa,Energy,https://www.oandoplc.com/careers/,High,
260,Seplat Energy,Nigeria,West Africa,Energy,https://www.seplatenergy.com/careers/,High,
261,Jumia Nigeria,Nigeria,Africa,E-commerce,https://group.jumia.com/careers,High,
262,Safaricom,Kenya,East Africa,Telecommunications & FinTech,https://www.safaricom.co.ke/careers,High,
263,Equity Group,Kenya,East Africa,Banking,https://equitygroupholdings.com/careers/,High,
264,KCB Group,Kenya,East Africa,Banking,https://ke.kcbgroup.com/about-us/careers,High,
265,Co-operative Bank of Kenya,Kenya,East Africa,Banking,https://www.co-opbank.co.ke/careers/,High,
266,NCBA Group,Kenya,East Africa,Banking,https://ke.ncbagroup.com/careers/,High,
267,Nation Media Group,Kenya,East Africa,Media,https://www.nationmedia.com/careers/,High,
268,East African Breweries,Kenya,East Africa,FMCG,https://www.diageo.com/en/careers,High,
269,Bidco Africa,Kenya,East Africa,FMCG & Manufacturing,https://www.bidcoafrica.com/careers/,High,
270,Cellulant,Kenya,Africa,FinTech,https://www.cellulant.io/careers/,High,
271,M-KOPA,Kenya,Africa,FinTech & Energy,https://m-kopa.com/careers/,High,
272,MTN Ghana,Ghana,West Africa,Telecommunications,https://www.mtn.com.gh/careers/,High,
273,Telecel Ghana,Ghana,West Africa,Telecommunications,https://telecel.com.gh/careers/,High,
274,Ecobank Transnational,Togo / Africa,Africa,Banking,https://ecobank.com/group/careers,High,
275,GCB Bank,Ghana,West Africa,Banking,https://www.gcbbank.com.gh/careers,High,
276,Fidelity Bank Ghana,Ghana,West Africa,Banking,https://www.fidelitybank.com.gh/careers,High,
277,Tullow Oil,Ghana / Global,Africa,Energy,https://www.tullowoil.com/careers/,High,
278,Kasapreko,Ghana,West Africa,FMCG,https://kasapreko.com/,High,
279,mPharma,Ghana,Africa,Health Technology,https://mpharma.com/careers/,High,
280,Bank of Kigali,Rwanda,East Africa,Banking,https://www.bk.rw/careers,High,
281,I&M Group,Kenya / East Africa,East Africa,Banking,https://www.imbankgroup.com/careers/,High,
282,Airtel Tanzania,Tanzania,East Africa,Telecommunications,https://www.airtel.co.tz/careers,High,
283,Vodacom Tanzania,Tanzania,East Africa,Telecommunications,https://careers.vodafone.com/vodacom/,High,
284,CRDB Bank,Tanzania,East Africa,Banking,https://crdbbank.co.tz/careers,High,
285,NMB Bank Tanzania,Tanzania,East Africa,Banking,https://careers.nmbbank.co.tz/,High,
286,MTN Uganda,Uganda,East Africa,Telecommunications,https://www.mtn.co.ug/careers/,High,
287,Stanbic Bank Uganda,Uganda,East Africa,Banking,https://careers.standardbank.com/,High,
288,Orange Senegal / Sonatel,Senegal,West Africa,Telecommunications,https://orange.jobs/,High,
289,Wave Mobile Money,Senegal / Africa,Africa,FinTech,https://www.wave.com/en/careers/,High,
290,NSIA Group,Côte d’Ivoire,West Africa,Insurance & Banking,https://groupensia.com/,High,
291,MTN Côte d’Ivoire,Côte d’Ivoire,West Africa,Telecommunications,https://www.mtn.ci/careers/,High,
292,Orange Côte d’Ivoire,Côte d’Ivoire,West Africa,Telecommunications,https://orange.jobs/,High,
293,Safaricom Ethiopia,Ethiopia,East Africa,Telecommunications & FinTech,https://www.safaricom.et/,High,
294,Dashen Bank,Ethiopia,East Africa,Banking,https://dashenbanksc.com/careers/,High,
295,Awash Bank,Ethiopia,East Africa,Banking,https://www.awashbank.com/vacancy/,High,
296,MTN Rwanda,Rwanda,East Africa,Telecommunications,https://www.mtn.co.rw/careers/,High,
297,Airtel Rwanda,Rwanda,East Africa,Telecommunications,https://www.airtel.co.rw/,High,
298,Centenary Bank,Uganda,East Africa,Banking,https://www.centenarybank.co.ug/careers/,High,
299,Bakhresa Group,Tanzania,East Africa,FMCG & Manufacturing,https://bakhresa.com/careers/,High,
300,Azam Media,Tanzania,East Africa,Media & Technology,https://azam-media.com/,High,
